UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA ,STATUS_PROCESSAMENTO
MG,31,27206,Funilândia,4.886,⚠️
MG,31,53103,Presidente Bernardes,4.883,⚠️
MG,31,61403,São Francisco do Glória,4.866,⚠️
MG,31,27339,Gameleiras,4.863,⚠️
MG,31,50539,Pingo-d'Água,4.845,⚠️
MG,31,59308,Santa Rita de Jacutinga,4.836,⚠️
MG,31,60801,São Bento Abade,4.835,⚠️
MG,31,11705,Canaã,4.832,⚠️
SP,35,07308,Boracéia,4.823,⚠️
MG,31,05202,Bandeira,4.821,⚠️
RN,24,00604,Almino Afonso,4.806,⚠️
MG,31,58102,Santa Maria do Salto,4.803,⚠️
SP,35,16853,Gavião Peixoto,4.797,⚠️
SP,35,33205,Nova Independência,4.795,⚠️
SP,35,30409,Mirassolândia,4.771,⚠️
SP,35,43204,Ribeirão do Sul,4.768,⚠️
MG,31,40308,Marliéria,4.761,⚠️
SP,35,27702,Luiziânia,4.751,⚠️
MG,31,57401,Santa Cruz do Escalvado,4.743,⚠️
MG,31,20409,Cristiano Otoni,4.735,⚠️
MG,31,70651,Vargem Grande do Rio Pardo,4.727,⚠️
SP,35,43105,Ribeirão Corrente,4.706,⚠️
MG,31,50307,Piedade do Rio Grande,4.697,⚠️
SP,35,02002,Analândia,4.684,⚠️
MG,31,55108,Rio do Prado,4.679,⚠️
MG,31,63102,São José da Varginha,4.677,⚠️
MG,31,35308,Japaraíba,4.672,⚠️
MG,31,12653,Capitão Andrade,4.650,⚠️
MG,31,07604,Bom Jesus da Penha,4.642,⚠️
SP,35,28700,Marabá Paulista,4.627,⚠️
SP,35,42305,Redenção da Serra,4.611,⚠️
MG,31,27073,Fruta de Leite,4.607,⚠️
MG,31,02506,Amparo do Serra,4.595,⚠️
MG,31,04809,Augusto de Lima,4.593,⚠️
MG,31,26604,Francisco Dumont,4.564,⚠️
SP,35,00808,Alfredo Marcondes,4.556,⚠️
TO,17,20499,São Valério,4.547,⚠️
MG,31,06606,Bertópolis,4.546,⚠️
MG,31,71907,Virgolândia,4.530,⚠️
MG,31,17405,Conceição de Ipanema,4.503,⚠️
MG,31,66956,Serranópolis de Minas,4.496,⚠️
MG,31,08800,Braúnas,4.475,⚠️
MG,31,72103,Volta Grande,4.473,⚠️
MT,51,06174,Nova Nazaré,4.467,⚠️
SP,35,25607,João Ramalho,4.456,⚠️
SP,35,39608,Planalto,4.454,⚠️
MG,31,43153,Monte Formoso,4.449,⚠️
MG,31,19906,Córrego do Bom Jesus,4.429,⚠️
MG,31,21902,Divinésia,4.426,⚠️
MG,31,12208,Capela Nova,4.416,⚠️
MG,31,27057,Fronteira dos Vales,4.405,⚠️
SP,35,22653,Itapirapuã Paulista,4.405,⚠️
MG,31,38351,Leme do Prado,4.387,⚠️
MG,31,68309,Taquaraçu de Minas,4.368,⚠️
SP,35,46207,Santa Cruz da Conceição,4.365,⚠️
SP,35,08306,Cabrália Paulista,4.362,⚠️
MG,31,36553,José Raydan,4.352,⚠️
MG,31,20102,Couto de Magalhães de Minas,4.346,⚠️
MG,31,60108,Santo Antônio do Grama,4.342,⚠️
MG,31,02407,Alvorada de Minas,4.322,⚠️
MG,31,08701,Brás Pires,4.314,⚠️
SP,35,25805,Júlio Mesquita,4.308,⚠️
MG,31,36108,Joanésia,4.304,⚠️
SP,35,31605,Monte Castelo,4.301,⚠️
SP,35,12605,Coronel Macedo,4.295,⚠️
SP,35,12704,Corumbataí,4.285,⚠️
SP,35,18909,Guzolândia,4.276,⚠️
MG,31,58805,Santana do Jacaré,4.265,⚠️
MG,31,57302,Santa Bárbara do Tugúrio,4.262,⚠️
MG,31,49606,Pequi,4.258,⚠️
MG,31,63201,São José do Alegre,4.242,⚠️
MG,31,48905,Pedra do Indaiá,4.232,⚠️
PB,25,02706,Borborema,4.231,⚠️
SP,35,15194,Espírito Santo do Turvo,4.217,⚠️
MG,31,68101,Tapira,4.212,⚠️
MT,51,07792,Santo Antônio do Leste,4.212,⚠️
SP,35,31704,Monteiro Lobato,4.205,⚠️
MG,31,54705,Ribeirão Vermelho,4.201,⚠️
MG,31,27388,Goianá,4.190,⚠️
SP,35,17109,Glicério,4.173,⚠️
MG,31,09253,Bugre,4.149,⚠️
MG,31,60900,São Brás do Suaçuí,4.133,⚠️
PI,22,01804,Bocaina,4.131,⚠️
SP,35,02606,Aparecida d'Oeste,4.124,⚠️
MG,31,67905,Tabuleiro,4.098,⚠️
MG,31,57500,Santa Efigênia de Minas,4.067,⚠️
MG,31,50208,Piedade de Ponte Nova,4.056,⚠️
MG,31,62658,São João do Pacuí,4.052,⚠️
SP,35,28205,Macedônia,4.048,⚠️
MG,31,41306,Medeiros,4.040,⚠️
MG,31,12059,Cantagalo,4.039,⚠️
MG,31,65909,Senador Modestino Gonçalves,4.035,⚠️
SP,35,23008,Itapura,4.014,⚠️
MG,31,42254,Miravânia,4.011,⚠️
MG,31,36520,José Gonçalves de Minas,3.993,⚠️
SP,35,16101,Florínea,3.987,⚠️
MG,31,40605,Materlândia,3.982,⚠️
MG,31,60207,Santo Antônio do Itambé,3.979,⚠️
SP,35,01202,Álvares Florence,3.978,⚠️
MG,31,25002,Ewbank da Câmara,3.977,⚠️
SP,35,44509,Rubinéia,3.965,⚠️
MG,31,57377,Santa Cruz de Salinas,3.944,⚠️
SP,35,48401,Santópolis do Aguapeí,3.933,⚠️
MG,31,69059,Tocos do Moji,3.899,⚠️
SP,35,49607,São José do Barreiro,3.898,⚠️
MG,31,36405,Joaquim Felício,3.891,⚠️
SP,35,01103,Alto Alegre,3.883,⚠️
MG,31,60009,Santo Antônio do Aventureiro,3.881,⚠️
MG,31,63003,São José da Safira,3.861,⚠️
MG,31,70438,União de Minas,3.848,⚠️
SP,35,41109,Presidente Alves,3.841,⚠️
MG,31,66501,Serra Azul de Minas,3.829,⚠️
MG,31,31406,Ipiaçu,3.823,⚠️
MG,31,58607,Santana do Deserto,3.819,⚠️
MG,31,52131,Ponto Chique,3.807,⚠️
MG,31,11150,Campo Azul,3.802,⚠️
MG,31,09600,Cachoeira da Prata,3.781,⚠️
MG,31,71402,Vieiras,3.780,⚠️
MG,31,22470,Dom Bosco,3.767,⚠️
SP,35,32108,Murutinga do Sul,3.763,⚠️
MG,31,44904,Nova Módica,3.731,⚠️
MG,31,32602,Itamarati de Minas,3.730,⚠️
SP,35,22000,Itaju,3.702,⚠️
MT,51,08857,Nova Marilândia,3.678,⚠️
TO,17,08254,Tabocão,3.676,⚠️
SP,35,20806,Inúbia Paulista,3.671,⚠️
MG,31,44375,Natalândia,3.626,⚠️
SP,35,05005,Barão de Antonina,3.618,⚠️
MG,31,20706,Cruzeiro da Fortaleza,3.610,⚠️
SP,35,07159,Bom Sucesso de Itararé,3.610,⚠️
MG,31,36579,Josenópolis,3.607,⚠️
MG,31,21704,Diogo de Vasconcelos,3.596,⚠️
MG,31,15201,Conceição da Barra de Minas,3.596,⚠️
MG,31,19708,Coronel Xavier Chaves,3.586,⚠️
MG,31,58409,Santana de Cataguases,3.553,⚠️
MG,31,57609,Santa Fé de Minas,3.551,⚠️
SP,35,28908,Mariápolis,3.539,⚠️
MG,31,40209,Maripá de Minas,3.532,⚠️
MT,51,07578,Rondolândia,3.527,⚠️
MG,31,59100,Santana dos Montes,3.507,⚠️
MG,31,63300,São José do Divino,3.501,⚠️
MG,31,53202,Presidente Juscelino,3.493,⚠️
SP,35,22158,Itaoca,3.490,⚠️
MG,31,26307,Fortaleza de Minas,3.485,⚠️
MG,31,71105,Veríssimo,3.480,⚠️
MG,31,59704,Santa Rosa da Serra,3.476,⚠️
MG,31,26950,Frei Lagonegro,3.475,⚠️
SP,35,52551,Suzanápolis,3.464,⚠️
MT,51,07768,Santa Rita do Trivelato,3.463,⚠️
MG,31,29905,Ibitiúra de Minas,3.439,⚠️
MG,31,14709,Carvalhópolis,3.417,⚠️
MG,31,49200,Pedrinópolis,3.404,⚠️
MG,31,48806,Pedra do Anta,3.371,⚠️
MG,31,70479,Uruana de Minas,3.360,⚠️
MG,31,59407,Santa Rita de Ibitipoca,3.344,⚠️
MT,51,06273,Novo Horizonte do Norte,3.307,⚠️
MG,31,06101,Belmiro Braga,3.299,⚠️
MG,31,40407,Marmelópolis,3.299,⚠️
MG,31,37304,Lagoa dos Patos,3.285,⚠️
MG,31,38302,Leandro Ferreira,3.270,⚠️
MG,31,61601,São Geraldo da Piedade,3.258,⚠️
MG,31,61056,São Félix de Minas,3.252,⚠️
MG,31,19005,Cordislândia,3.247,⚠️
MG,31,64431,São Sebastião da Vargem Alegre,3.219,⚠️
MG,31,26406,Fortuna de Minas,3.207,⚠️
SP,35,30003,Mira Estrela,3.199,⚠️
MG,31,57278,Santa Bárbara do Monte Verde,3.199,⚠️
SP,35,14924,Elisiário,3.189,⚠️
SP,35,51306,Sebastianópolis do Sul,3.187,⚠️
MG,31,15904,Chácara,3.177,⚠️
MG,31,22801,Dom Viçoso,3.176,⚠️
MG,31,61650,São Geraldo do Baixio,3.175,⚠️
MG,31,43708,Morro do Pilar,3.174,⚠️
SP,35,42800,Ribeira,3.166,⚠️
MG,31,44672,Nova Belém,3.156,⚠️
MG,31,53301,Presidente Kubitschek,3.154,⚠️
MG,31,15409,Catas Altas da Noruega,3.141,⚠️
MG,31,25507,São Gonçalo do Rio Preto,3.098,⚠️
MG,31,66105,Senhora do Porto,3.088,⚠️
MG,31,71501,Mathias Lobato,3.069,⚠️
SP,35,48302,Santo Expedito,3.063,⚠️
SP,35,15129,Emilianópolis,3.062,⚠️
SP,35,39707,Platina,3.061,⚠️
MG,31,67509,Simão Pereira,3.060,⚠️
MG,31,21506,Desterro do Melo,3.059,⚠️
MG,31,45802,Onça de Pitangui,3.027,⚠️
SP,35,47106,Santa Mercedes,3.012,⚠️
MG,31,62302,São João da Mata,3.000,⚠️
MG,31,27354,Glaucilândia,2.991,⚠️
MG,31,19807,Córrego Danta,2.978,⚠️
MG,31,13107,Caranaíba,2.960,⚠️
SP,35,10104,Cândido Rodrigues,2.951,⚠️
SP,35,01509,Alvinlândia,2.923,⚠️
MG,31,10806,Campanário,2.917,⚠️
MG,31,20003,Córrego Novo,2.912,⚠️
MG,31,49002,Pedra Dourada,2.883,⚠️
SP,35,10906,Cássia dos Coqueiros,2.855,⚠️
MG,31,50109,Piau,2.854,⚠️
SP,35,36901,Pedranópolis,2.848,⚠️
SP,35,33304,Nova Luzitânia,2.838,⚠️
SP,35,37156,Pedrinhas Paulista,2.838,⚠️
MG,31,17207,Conceição das Pedras,2.837,⚠️
MG,31,63607,São José do Mantimento,2.834,⚠️
MT,51,07743,Santa Cruz do Xingu,2.834,⚠️
SP,35,00600,Águas de São Pedro,2.829,⚠️
MG,31,25804,Fernandes Tourinho,2.825,⚠️
MG,31,16902,Comendador Gomes,2.813,⚠️
SP,35,16507,Gabriel Monteiro,2.811,⚠️
MG,31,19609,Coronel Pacheco,2.799,⚠️
SP,35,47403,Santa Rita d'Oeste,2.790,⚠️
RS,43,14548,Pinto Bandeira,2.784,⚠️
MG,31,15003,Cascalho Rico,2.757,⚠️
MG,31,24708,Estrela do Indaiá,2.750,⚠️
SP,35,15301,Estrela do Norte,2.749,⚠️
MG,31,60603,Santo Hipólito,2.720,⚠️
SP,35,27900,Lutécia,2.699,⚠️
MG,31,13800,Carmésia,2.682,⚠️
SP,35,46108,Santa Clara d'Oeste,2.677,⚠️
SP,35,53658,Taquaral,2.652,⚠️
