Location_ID,Location_Name_PT,ISO_3166_1,Country_Region_PT,Adm1_Name_PT,Adm2_Name_PT,Timezone,Latitude,Longitude
449BF,Campo Maior,BR,Brazil,Piauí,Campo Maior,America/Fortaleza,-4.82778,-42.16889
76960,Livramento de Nossa Senhora,BR,Brazil,Bahia,Livramento de Nossa Senhora,America/Bahia,-13.64900,-41.84000
F0B1A,Mamanguape,BR,Brazil,Paraíba,Mamanguape,America/Fortaleza,-6.83889,-35.12583
90831,Dois Vizinhos,BR,Brazil,Paraná,Dois Vizinhos,America/Sao_Paulo,-25.75000,-53.05695
21F8B,Xique-Xique,BR,Brazil,Bahia,Xique-Xique,America/Bahia,-10.82500,-42.72600
79848,Itaberaí,BR,Brazil,Goiás,Itaberaí,America/Sao_Paulo,-16.02000,-49.81000
EA138,Marau,BR,Brazil,Rio Grande do Sul,Marau,America/Sao_Paulo,-28.44889,-52.20000
D7E7D,São Miguel do Oeste,BR,Brazil,Santa Catarina,São Miguel do Oeste,America/Sao_Paulo,-26.72500,-53.51778
43A67,Jardinópolis,BR,Brazil,São Paulo,Jardinópolis,America/Sao_Paulo,-21.02200,-47.76500
CA857,Jaraguá,BR,Brazil,Goiás,Jaraguá,America/Sao_Paulo,-15.75695,-49.33389
CB8D8,São Lourenço,BR,Brazil,Minas Gerais,São Lourenço,America/Sao_Paulo,-22.11800,-45.05300
2D609,Pederneiras,BR,Brazil,São Paulo,Pederneiras,America/Sao_Paulo,-22.35167,-48.77500
E0311,Cerquilho,BR,Brazil,São Paulo,Cerquilho,America/Sao_Paulo,-23.16500,-47.74361
B4DEB,Tarauacá,BR,Brazil,Acre,Tarauacá,America/Rio_Branco,-8.16083,-70.76583
98A9A,Acopiara,BR,Brazil,Ceará,Acopiara,America/Fortaleza,-6.09500,-39.45278
F321A,Presidente Dutra,BR,Brazil,Maranhão,Presidente Dutra,America/Fortaleza,-5.29000,-44.49000
31BD,Bom Conselho,BR,Brazil,Pernambuco,Bom Conselho,America/Recife,-9.17000,-36.68000
1486E,Uruará,BR,Brazil,Pará,Uruará,America/Santarem,-3.71778,-53.73695
D8F59,Lapa,BR,Brazil,Paraná,Lapa,America/Sao_Paulo,-25.77000,-49.71583
56218,Lago da Pedra,BR,Brazil,Maranhão,Lago da Pedra,America/Fortaleza,-4.57000,-45.13194
D0525,Cornélio Procópio,BR,Brazil,Paraná,Cornélio Procópio,America/Sao_Paulo,-23.18083,-50.64695
2E54D,Itarema,BR,Brazil,Ceará,Itarema,America/Fortaleza,-2.92000,-39.91500
7DC24,Marataízes,BR,Brazil,Espírito Santo,Marataízes,America/Sao_Paulo,-21.04300,-40.83000
9F075,Serrana,BR,Brazil,São Paulo,Serrana,America/Sao_Paulo,-21.21139,-47.59556
31B48,Santo Antônio da Platina,BR,Brazil,Paraná,Santo Antônio da Platina,America/Sao_Paulo,-23.29500,-50.07695
55E02,Autazes,BR,Brazil,Amazonas,Autazes,America/Manaus,-3.58639,-59.11972
92318,Porangatu,BR,Brazil,Goiás,Porangatu,America/Sao_Paulo,-13.44083,-49.14889
6B234,Barra dos Coqueiros,BR,Brazil,Sergipe,Barra dos Coqueiros,America/Maceio,-10.90889,-37.03889
13EB9,Barra de São Francisco,BR,Brazil,Espírito Santo,Barra de São Francisco,America/Sao_Paulo,-18.75500,-40.89084
60266,José de Freitas,BR,Brazil,Piauí,José de Freitas,America/Fortaleza,-4.75583,-42.57583
DE00B,Itararé,BR,Brazil,São Paulo,Itararé,America/Sao_Paulo,-24.11200,-49.33600
516BA,Guaraciaba do Norte,BR,Brazil,Ceará,Guaraciaba do Norte,America/Fortaleza,-4.16695,-40.74778
D7F79,Santo Antônio da Patrulha,BR,Brazil,Rio Grande do Sul,Santo Antônio da Patrulha,America/Sao_Paulo,-29.81778,-50.52000
